id,source_lead_id,username,text,geo,payment_methods_mentioned,company,position
1176,498518,Dynamis_IT,"#Selling #Payment 
Kunga — licensed PSP 
89% approval rate | Any industry | Fast Onboarding | T+0
**Local Accounts:** EEUU 🇺🇸, EU (LUX) 🇪🇺, UK 🇬🇧, MX 🇲🇽, CO 🇨🇴, BRA (PIX) 🇧🇷 , AR 🇦🇷
SEPA / SWIFT","[""EEUU"", ""EU"", ""UK"", ""MX"", ""CO"", ""BRA"", ""AR""]","[""SEPA"", ""SWIFT"", ""PIX"", ""Cards""]",Kunga,""
1130,484471,Eternity_99,"PSP 🇮🇳India first-hand payment solution provider

(P2P, P2C, H2H, UPI Intent)

⚠️No need to fill in UTR

1️⃣Igaming traffic

2️⃣Forex traffic  

💻DM:@Eternity_99","[""India""]","[""P2P"", ""P2C"", ""H2H"", ""UPI Intent""]","",""
1131,484550,HuiduYee,"#Supply

**No:** 0402**

Supply Resource:**  WinyPay – Bangladesh Bikash Nagad
**
Resource Details:** WinyPay Payment Gateway is a modern digital payment solution designed to help businesses efficiently accept and manage online payments. 

With seamless payment processing, real-time transaction monitoring, flexible settlement options, and a user-friendly merchant dashboard, WinyPay streamlines payment operations for businesses of all sizes. Its robust infrastructure and flexible API integration deliver a fast, secure, and convenient payment experience for both merchants and customers.

**Supply Resource on ****Huidu.io****:** https://www.huidu.io/en/business/29793/


⚠** Please be careful to prevent fraud when cooperating with supply and demand resources. If you need a guaranteed transaction, please contact ****@HuiduEscrow**

🤖**Huidu.io robot can quickly view supply and demand resources. **[**Click to register**](https://t.me/huidu_enbot)
🔥**Join ****Huidu.io**** iGaming Prime Hub to enjoy the supply and demand resources**,** to be one of us, please contact ****@HuiduYee** **@HuiduHeric**
🚀**Any questions, please contact ****@HuiduYee** 
🔝**Official Website: ****www.huidu.io**","[""Bangladesh"", ""India""]","[""Bikash"", ""Nagad"", ""UPI"", ""IMPS"", ""NEFT"", ""Native Bank Accounts""]","WinyPay, YHPAY PAYMENT",""
1133,484758,Amy_silkpay,"Silkpay — India Payment Provider
🇮🇳iGaming & Forex
⚡️ UPI Intent & H2H Mode
DM @Amy_Silkpay for a demo and rates !","[""India""]","[""UPI Intent"", ""H2H""]",Silkpay,""
1139,485965,psp_solutions,"#selling #Payment  Psp for ftds!
90%+ approval - au, NZ, eu and more 👌
Weekly settlements , instant setup✅✅✅
DM for more information‼️","[""AU"", ""NZ"", ""EU""]",[],"",""
1140,486080,sergioltd,"Коллеги, раз уж я начал с вас просить контакты, наверное, будет честно сначала нормально представиться 😄🤝
Меня зовут Сергей, я Head of B2B Sales в Noda 🚀 Занимаюсь Open Banking платежами по Европе 🇪🇺, преимущественно работаю с iGaming 🎰

Если совсем коротко: помогаю мерчантам принимать деньги быстро, стабильно и без необходимости каждый раз молиться на карточный процессинг 😄🙏💳

В Noda у нас свой Open Banking продукт, собственная инфраструктура и IBAN, хорошие approval rates, конкурентные цены и достаточно гибкий подход к нестандартным кейсам ⚡️💶

Со своей стороны всегда открыт к новым знакомствам, обмену контактами, интро, партнёрствам и просто адекватному профессиональному нетворкингу 🤝 Если могу быть кому-то полезен по Open Banking, европейскому процессингу или iGaming, смело пишите в личку.

Ну и если у вас есть хороший европейский трафик, то тем более пишите 😄🍾

Всем рад знакомству! 🙌🚀","[""Europe""]","[""Open Banking"", ""IBAN""]",Noda / KipMotion,Head of B2B Sales / CEO
1141,486353,artempsp_24pb,"Всем привет! 👋 Я представляю 24PayBase.

Предоставляем P2P/P2C платежные решения для iGaming и других высокорисковых вертикалей. На данный момент доступны следующие гео:

🇺🇦 Украина - Card P2P / Deeplink (Mono, Privat)
🇮🇳 Индия - UPI / QR
🇵🇰 Пакистан - Easypaisa, JazzCash, Raast QR
🇦🇿 Азербайджан - P2P
🇺🇿 Узбекистан - Humo, Uzcard, Payme, Click, Uzum
🇧🇩 Бангладеш - bKash, Nagad
🇧🇷 Бразилия - PIX
🇦🇷 Аргентина - CVU/CBU

✅ T+0 по большинству гео
✅ Сеттл в USDT
✅ H2H и Redirect-интеграции
✅ Работаем с любым типом трафика

Если интересно - пишите в личные сообщения, буду рад обсудить сотрудничество.","[""Украина"", ""Индия"", ""Пакистан"", ""Азербайджан"", ""Узбекистан"", ""Бангладеш"", ""Бразилия"", ""Аргентина""]","[""P2P"", ""P2C"", ""Card"", ""Deeplink"", ""UPI"", ""QR"", ""Easypaisa"", ""JazzCash"", ""Raast QR"", ""Humo"", ""Uzcard"", ""Payme"", ""Click"", ""Uzum"", ""bKash"", ""Nagad"", ""PIX"", ""CVU/CBU"", ""USDT""]",24PayBase,""
1143,486612,Kitchen_FX,"**Sell 🏆**

📈 PSP-Deposit/Charge/Recovery/EX-Deposit/Ret/Ftd/New Signups

🎯 CA/EUROPE EN-NATIVE/US/AU/LATAM/RU","[""CA"", ""EUROPE"", ""US"", ""AU"", ""LATAM"", ""RU""]","[""PSP-Deposit"", ""Charge"", ""Recovery"", ""EX-Deposit"", ""Ret"", ""Ftd""]","",""
1152,488436,Oct_Law,"We help you acquire UK and EU companies and directors with amazing prices and service!

Text this Octopus to get started 🐙","[""UK"", ""EU""]","[""Routing and cascading payment platform""]","",""
1154,491355,Leoncrm,"🔥 **All-in-One Platform Built to Dominate**🔥
📈 Conquer Forex, Crypto, Arbitrage, CFD & Recovery
🧠 AI-powered monitoring & advanced reporting
💬 CRM with built-in chat + WhatsApp sync
🌐 **Your own branded website included at no cost**
🔐 Full VOIP, VPN & RDP support unlocked
💳 Direct PSP + bank connections from day one
⚡️ **Go live in just 72 hours profits waiting!**",[],"[""PSP"", ""bank connections""]","",""
1155,491425,dkkj01,"#selling
PSP solution 
Norway / Germany / Uk / NL","[""Norway"", ""Germany"", ""UK"", ""NL""]",[],"",""
1156,491447,Eternity_99,"PSP 🇮🇳India first-hand payment solution provider

(P2P, P2C, H2H, UPI Intent)

⚠️No need to fill in UTR

1️⃣Igaming traffic

2️⃣Forex traffic  

💻DM:@Eternity_99","[""India""]","[""P2P"", ""P2C"", ""H2H"", ""UPI Intent""]","",""
1160,493455,ed_leads,"#crm  #traffic🚀 All-in-one solution for Forex & Crypto brokers: PSP, CRM, telephony, call-center tools and live traffic. One provider, one ecosystem. DM us for a demo and pricing.","[""Norway"", ""Germany"", ""UK"", ""NL""]","[""PSP""]","",""
1181,499346,Oct_Law,"We help you acquire UK and EU companies and directors with amazing prices and service!

Text this Octopus to get started 🐙","[""UK"", ""EU""]","[""Routing and cascading payment platform""]",Oct_Law,""
